Record,Avg,CSN_0,CSN_1,CNS_2,ARP,DHCP,DNS,HTML,ICMP,TCP,UDP,Label
330,0.0093,42,24,0,0,0,0,1,0,22,0,good
331,0.0138,21,11,7,0,0,5,0,0,22,0,good
332,0.0031,90,70,4,0,0,3,0,0,70,0,good
333,0.0139,20,9,4,0,0,0,0,0,20,0,good
334,1.5126,1,0,0,0,0,0,0,0,1,0,good
335,0.002,129,61,42,0,0,24,0,28,201,0,good
336,5.00E-04,553,471,70,0,0,9,0,68,1107,0,good
337,0.0074,35,11,9,0,0,12,0,7,49,0,good
338,0.0015,161,97,28,0,0,14,0,32,284,0,good
339,0.0053,50,20,10,0,0,1,0,20,73,0,good
340,0.0048,52,37,11,0,0,8,0,6,51,0,good
341,0.0211,9,8,5,0,0,4,0,3,26,0,good
342,7.00E-04,411,259,2,0,0,0,0,79,594,0,good
343,0.0136,20,4,4,0,0,9,0,8,20,0,good
344,0.0029,83,61,23,0,0,15,0,8,158,0,good
345,0.1193,3,2,0,0,0,1,0,0,2,0,good
346,0.0018,128,25,18,2,0,49,0,31,181,0,good
347,0.0056,27,22,7,0,0,8,0,15,56,0,good
348,0.0045,45,24,23,0,0,20,0,4,79,0,good
349,0.0065,41,39,0,0,0,79,0,0,1,0,good
350,0.3337,1,1,1,0,0,0,0,0,3,0,good
351,0.1111,5,2,1,0,0,0,0,0,9,0,good
352,0.0588,8,4,2,0,0,0,0,0,17,0,good
353,0.0573,4,3,2,0,0,0,0,0,9,0,good
354,0.0392,18,2,2,0,0,1,0,0,28,0,good
355,0.3282,2,1,1,0,0,3,0,0,1,0,good
356,1.2285,1,0,0,0,0,0,0,1,0,0,good
357,1.5578,2,0,0,0,0,0,0,0,2,0,good
358,0.0015,182,140,27,0,0,13,0,27,362,0,good
359,0.0046,67,29,10,0,0,5,0,15,73,0,good
360,0.0031,57,40,36,0,0,6,0,14,83,0,good
361,0.002,102,60,43,0,0,11,0,10,127,0,good
362,0.0045,48,29,12,0,0,7,0,3,61,0,good
363,0.0103,26,14,4,0,0,4,0,14,36,0,good
364,0.0081,26,23,21,0,0,3,0,5,59,0,good
365,0.0037,72,39,9,0,0,11,1,12,104,0,good
366,0.0051,31,27,23,0,0,4,0,4,65,0,good
367,0.0118,26,9,4,0,0,1,0,4,41,0,good
368,0.0081,37,31,9,0,0,17,0,8,57,0,good
369,0.0631,2,2,2,0,0,0,2,0,6,0,good
370,0.0884,3,2,1,0,0,0,0,0,6,0,good
371,0.138,4,2,1,0,0,0,0,0,7,0,good
372,0.0684,4,4,0,0,0,0,0,0,8,0,good
373,0.0355,16,5,4,0,0,2,0,2,28,0,good
374,0.0365,9,3,2,0,0,0,0,0,18,0,good
375,0.1974,2,1,0,0,0,0,0,0,3,0,good
376,0.4284,2,1,1,0,0,0,0,0,4,0,good
377,0.0023,120,96,22,0,0,2,0,32,219,0,good
378,0.0086,33,6,6,0,0,0,0,16,43,0,good
379,0.0076,59,27,7,0,0,12,0,10,96,0,good
380,0.0113,24,13,4,0,0,4,0,9,35,0,good
381,0.0033,87,68,7,0,0,0,0,34,139,0,good
382,0.1118,3,2,1,0,0,1,0,1,4,0,good
383,0.0022,127,107,6,0,0,1,0,62,179,0,good
384,0.0127,21,4,3,0,0,6,0,7,26,0,good
385,0.0128,21,19,6,0,0,1,0,1,27,0,good
386,0.0064,47,29,8,0,0,1,0,14,74,0,good
387,0.0167,21,8,7,0,0,0,0,6,38,0,good
388,0.02,26,9,5,2,0,0,0,14,35,0,good
389,0.1073,5,2,1,0,0,4,0,0,5,0,good
390,0.2522,2,1,1,0,0,0,0,1,4,0,good
391,0.0253,12,4,2,0,0,0,0,1,23,0,good
392,0.4814,2,1,1,0,0,0,0,0,5,0,good
393,11.3493,1,0,0,0,0,0,0,0,0,0,good
394,0.2503,2,2,0,0,0,0,0,0,2,0,good
395,0.6745,3,1,1,0,0,0,1,0,2,0,good
396,0.3841,1,1,0,0,0,0,1,0,1,0,good
397,0.6937,1,1,1,0,0,0,0,0,3,0,good
398,0.5696,1,1,1,0,0,0,0,0,3,0,good
399,0.0344,6,6,4,0,0,0,0,0,18,0,good
400,0.2613,1,1,1,0,0,0,0,0,3,0,good
401,0.4219,4,2,2,1,0,0,0,0,8,0,good
402,3.3933,1,1,0,1,0,0,0,0,0,0,good
403,0.1431,3,2,1,0,0,0,0,0,3,0,good
404,0.1542,3,1,1,0,0,0,1,0,2,0,good
405,0.2877,2,1,1,0,0,0,0,0,2,0,good
406,3.4584,1,1,1,0,0,0,0,0,3,0,good
407,0.2223,4,3,1,0,0,0,0,0,9,0,good
408,0.5205,1,1,1,0,0,0,0,0,2,0,good
409,0.1429,2,2,2,0,0,0,0,0,5,0,good
410,0.3345,2,1,1,0,0,0,0,0,3,0,good
411,3.7,1,1,1,0,0,0,0,0,3,0,good
412,0.3295,1,1,1,0,0,0,0,0,2,0,good
413,0.2026,2,2,1,0,0,0,0,0,3,0,good
414,0.0346,5,4,3,0,0,0,0,0,10,0,good
415,0.0918,3,3,0,0,0,0,0,0,3,0,good
416,0.0824,5,4,1,0,0,0,0,0,6,0,good
417,0.3706,1,1,1,1,0,0,0,0,2,0,good
418,0.51,1,1,0,1,0,0,1,0,0,0,good
419,0.1833,2,1,0,0,0,0,1,0,1,0,good
420,0.157,2,1,1,0,0,0,0,0,3,0,good
421,0.0726,5,4,2,0,0,0,0,0,11,0,good
422,0.1394,5,2,1,0,0,0,0,0,8,0,good
423,0.0856,5,1,1,0,0,0,0,0,8,0,good
424,0.1681,3,2,1,0,0,0,0,0,3,0,good
425,0.1093,3,2,2,0,0,0,0,0,5,0,good
426,0.1029,4,3,3,0,0,0,0,0,9,0,good
427,0.039,4,4,3,0,0,0,0,0,9,0,good
428,0.3039,1,1,0,0,0,0,0,0,1,0,good
429,0.0494,11,6,2,0,0,0,0,0,12,0,good
430,0.3324,3,2,0,0,0,0,0,0,2,0,good
431,0.1002,3,2,0,0,0,0,0,0,2,0,good
432,0.0088,73,56,4,0,0,0,0,4,60,0,good
433,0.0035,99,65,0,0,0,0,0,0,63,0,good
434,0.3197,3,3,1,0,0,0,0,0,4,0,good
435,6.0915,1,0,0,0,0,0,0,0,1,0,good
436,0.0088,22,15,10,0,0,8,0,7,39,0,good
437,8.00E-04,355,240,0,0,0,0,0,42,553,0,good
438,0.0011,267,163,3,0,0,0,0,32,402,0,good
439,0.0072,32,27,4,0,0,8,0,6,57,0,good
440,0.0019,150,128,6,0,0,4,0,77,209,0,good
441,0.003,84,50,17,0,0,31,0,12,123,0,good
442,0.077,6,2,2,0,0,1,0,0,8,0,good
443,0.0984,3,1,1,0,0,0,0,0,6,0,good
444,0.1822,2,1,0,0,0,0,0,1,2,0,good
445,0.0518,18,18,0,0,0,0,0,1,35,0,good
446,0.2283,2,2,1,0,0,0,0,1,5,0,good
447,0.1957,1,1,1,0,0,0,0,0,3,0,good
448,1.0156,1,0,0,1,0,0,0,0,0,0,good
449,0.0532,8,5,1,1,0,0,0,0,13,0,good
450,0.258,2,2,1,0,0,0,0,1,4,0,good
451,0.3335,4,1,1,0,0,0,0,0,6,0,good
452,0.1111,4,2,2,0,0,0,0,0,9,0,good
453,0.0726,13,7,1,0,0,0,0,0,22,0,good
454,0.2006,3,2,1,0,0,0,0,0,5,0,good
455,0.1642,7,3,2,0,0,0,0,0,15,0,good
456,0.0124,24,18,0,0,0,0,0,10,32,0,good
457,0.0018,144,111,12,0,0,6,0,31,238,0,good
458,0.2727,7,6,2,0,0,2,1,3,10,0,good
459,1.6485,1,1,0,0,0,0,1,0,1,0,good
460,0.0239,11,9,2,0,0,0,0,0,19,0,good
461,0.1798,3,1,0,0,0,0,0,0,1,0,good
462,0.1209,3,2,1,0,0,0,0,0,3,0,good
463,0.1546,3,2,0,0,0,0,0,0,2,0,good
464,0.7079,3,2,1,0,0,0,1,0,3,0,good
465,0.0076,41,29,0,0,0,0,0,0,29,0,good
466,0.0415,16,9,0,0,0,0,0,0,8,0,good
467,0.0527,10,5,4,0,0,0,0,0,11,0,good
468,0.0906,6,5,2,0,0,1,0,0,8,0,good
469,0.022,14,13,2,0,0,3,0,2,16,0,good
470,0.0011,295,157,16,0,0,19,0,0,153,0,good
471,0.0031,76,28,19,0,0,13,0,0,87,0,good
472,0.0015,120,108,80,0,0,0,0,0,113,0,good
473,0.0033,77,62,6,0,0,0,0,0,47,0,good
474,0.0023,168,145,84,0,0,0,0,0,149,0,good
475,0.0038,60,44,24,0,0,4,0,0,54,0,good
476,0.0074,36,16,7,0,0,4,0,0,30,0,good
477,0.0045,60,22,20,2,0,0,0,0,61,0,good
478,0.0023,96,63,59,0,0,0,0,0,87,0,good
479,0.0065,33,27,6,0,0,4,0,0,32,0,good
480,0.1392,3,2,0,0,0,0,0,0,2,0,good
481,0.0672,6,4,0,0,0,0,0,0,4,0,good
482,0.1144,3,2,0,0,0,0,0,0,2,0,good
483,0.0117,22,18,4,0,0,0,0,0,20,0,good
484,0.2414,5,3,1,1,0,0,0,0,4,0,good
485,0.1801,1,1,1,1,0,0,0,0,1,0,good
486,0.019,29,24,0,0,0,0,0,0,23,0,good
487,0.0017,125,115,23,0,0,0,0,0,115,0,good
488,0.0069,58,40,2,0,0,0,0,0,32,0,good
489,0.0109,26,12,4,0,0,0,0,0,18,0,good
490,0.2713,2,0,0,0,0,0,0,0,1,0,good
491,0.0019,186,99,0,0,0,0,0,0,95,0,good
492,0.005,113,81,9,0,0,0,0,0,74,0,good
493,0.0012,370,201,0,0,0,0,0,0,189,0,good
494,0.0016,192,110,5,0,0,0,0,0,101,0,good
495,0.002,160,96,0,0,0,0,0,0,198,0,good
496,0.0018,179,94,13,0,0,0,0,0,246,0,good
497,0.0018,199,124,6,0,0,0,0,0,270,0,good
498,0.0411,28,12,7,0,0,0,0,0,31,0,good
499,0.0028,136,80,0,0,0,0,0,0,68,0,good
500,0.0895,15,7,5,0,0,0,0,0,13,0,good
501,5.0327,1,0,0,0,0,0,0,0,0,0,good
502,0.0026,132,89,0,0,0,0,0,0,80,0,good
503,0.1857,11,7,5,0,0,0,1,0,9,0,good
504,0.0465,7,4,0,0,0,0,1,0,5,0,good
505,0.4876,1,1,0,0,0,0,0,0,1,0,good
506,0.2347,2,2,0,0,0,0,0,0,2,0,good
507,0.9272,3,2,0,0,0,0,0,0,2,0,good
508,0.4047,6,6,0,0,0,0,0,0,8,0,good
509,0.4869,5,2,2,0,0,0,0,0,3,0,good
510,0.0333,8,5,2,0,0,0,0,0,7,0,good
511,0.0041,76,54,5,0,0,0,0,0,45,0,good
512,0.1727,13,6,4,0,0,0,0,0,11,0,good
513,1.3345,2,1,0,0,0,0,0,0,1,0,good
514,0.1001,6,2,1,0,0,0,0,0,4,0,good
515,0.2146,8,2,2,0,0,0,0,0,6,0,good
516,0.3344,2,1,0,0,0,0,0,0,2,0,good
517,1.3198,2,1,0,0,0,0,0,0,2,0,good
518,0.0206,9,5,4,0,0,4,0,3,13,0,good
519,0.5024,1,0,0,0,0,0,0,0,1,0,good
520,0.0017,142,126,21,0,0,15,0,10,270,0,good
521,0.001,279,222,10,0,0,5,0,76,452,0,good
522,0.0062,53,47,2,0,0,4,0,15,85,0,good
523,0.0088,20,14,14,0,0,5,0,7,50,0,good
524,0.0022,101,30,19,0,0,37,0,39,160,0,good
525,0.0032,49,40,34,0,0,16,0,19,119,0,good
526,0.0027,71,64,15,0,0,16,0,17,153,0,good
527,0.0013,190,104,58,2,0,2,0,16,387,0,good
528,0.0181,13,7,3,0,0,1,0,4,18,0,good
529,0.0017,164,90,61,0,0,7,0,31,339,0,good
530,0.0036,65,60,17,0,0,12,0,10,132,0,good
531,0.0037,59,38,19,0,0,2,0,14,122,0,good
532,0.0096,27,19,3,0,0,0,0,7,45,0,good
533,0.0208,21,16,5,0,0,4,0,8,35,0,good
534,0.0271,18,10,2,0,0,0,0,0,37,0,good
535,0.1002,3,3,2,0,0,0,0,0,10,0,good
536,0.0327,6,2,2,0,0,0,0,0,15,0,good
537,0.6917,1,0,0,0,0,0,0,1,0,0,good
538,0.1524,3,2,1,0,0,0,0,1,5,0,good
539,0.1181,2,1,1,0,0,0,2,0,3,0,good
540,0.0127,24,16,6,0,0,4,0,4,41,0,good
541,0.3306,1,1,0,0,0,0,0,1,1,0,good
542,0.069,13,13,1,0,0,0,0,2,25,0,good
543,0.0874,9,8,2,0,0,0,0,2,17,0,good
544,0.071,9,7,1,0,0,0,0,1,16,0,good
545,0.756,2,1,1,0,0,0,0,1,3,0,good
546,0.1681,2,2,1,0,0,0,0,2,4,0,good
547,0.0033,83,50,30,0,0,0,0,20,143,0,good
548,0.0278,11,9,0,0,0,0,0,3,17,0,good
549,0.036,11,4,1,0,0,0,0,7,11,0,good
550,0.0191,14,4,3,0,0,2,1,9,17,0,good
551,0.0073,37,8,6,0,0,6,0,21,46,0,good
552,0.0042,100,43,28,0,0,6,0,31,168,0,good
553,0.0079,29,23,7,0,0,0,1,14,49,0,good
554,0.002,111,72,34,0,0,16,0,17,209,0,good
555,0.0275,12,4,4,0,0,0,0,3,13,0,good
556,0.0387,11,7,2,0,0,0,0,2,19,0,good
557,0.0556,10,7,1,0,0,0,0,0,18,0,good
558,0.3335,2,1,0,0,0,0,0,0,3,0,good
559,0.061,6,2,2,0,0,0,0,0,13,0,good
560,0.0689,6,2,2,1,0,0,0,2,6,0,good
561,0.0436,8,2,1,1,0,0,0,0,13,0,good
562,0.299,3,2,2,0,0,0,0,0,8,0,good
563,0.8262,1,0,0,0,0,0,0,0,0,0,good
564,0.0048,88,48,1,0,0,0,0,0,50,0,good
565,1.0521,1,0,0,0,0,0,0,0,1,0,good
566,0.0466,12,5,4,0,0,0,0,0,14,0,good
567,0.6203,2,1,0,0,0,0,0,0,1,0,good
568,0.0136,11,9,8,0,0,8,0,0,19,0,good
569,0.0424,7,5,0,0,0,0,0,0,6,0,good
570,0.5165,1,0,0,0,0,0,0,0,1,0,good
571,0.0044,31,30,28,0,0,8,0,0,72,0,good
572,0.003,118,73,1,0,0,1,0,0,168,0,good
573,9.00E-04,327,169,38,0,0,17,0,0,489,0,good
574,0.0068,22,20,13,0,0,6,0,0,49,0,good
575,0.0041,49,21,13,0,0,30,0,0,66,0,good
576,0.0019,136,16,13,0,0,30,0,0,148,0,good
577,0.0092,31,7,7,0,0,2,0,0,42,0,good
578,0.0586,7,1,1,0,0,0,0,0,3,0,good
579,0.0139,20,16,0,0,0,0,0,0,25,0,good
580,0.077,6,2,2,0,0,0,0,0,6,0,good
581,0.0954,7,1,1,0,0,0,0,0,5,0,good
582,0.0322,18,8,4,0,0,0,0,0,27,0,good
583,0.0212,13,3,2,0,0,0,0,0,23,0,good
584,0.0565,4,2,1,0,0,0,0,0,7,0,good
585,0.7678,2,1,1,0,0,0,0,0,5,0,good
586,0.0923,4,3,2,0,0,0,0,0,7,0,good
587,0.5003,2,1,1,0,0,0,0,0,2,0,good
588,0.3337,2,1,0,0,0,0,0,0,1,0,good
589,0.3336,2,1,0,0,0,0,0,0,1,0,good
590,0.1288,1,1,1,2,0,0,0,0,2,0,good
591,0.1217,4,2,1,0,0,0,2,0,4,0,good
592,0.2321,2,2,0,0,0,0,0,0,1,0,good
593,0.4954,2,2,0,0,0,0,0,0,1,0,good
594,0.965,2,2,0,0,0,0,0,0,1,0,good
595,0.0089,73,45,1,0,0,0,0,0,47,0,good
596,0.0032,96,58,1,0,0,0,0,0,59,0,good
597,1.1431,6,4,1,0,0,0,0,0,7,0,good
598,0.3445,1,1,1,0,0,0,0,0,3,0,good
599,1.6674,1,1,1,1,0,0,0,0,2,0,good
600,1.1661,1,1,0,1,0,0,0,0,1,0,good
601,0.8363,3,2,1,0,0,0,0,0,5,0,good
602,0.143,4,2,1,0,0,0,0,0,3,0,good
603,2.0023,1,1,1,0,0,0,0,0,1,0,good
604,0.2331,1,1,1,0,0,0,0,0,1,0,good
605,0.1285,3,2,1,0,0,0,0,0,3,0,good
606,0.133,2,1,1,0,0,0,0,0,2,0,good
607,0.0271,19,6,6,0,0,0,0,0,21,0,good
608,0.0482,29,6,5,0,0,0,1,0,30,0,good
609,0.0225,13,6,3,0,0,0,1,0,17,0,good
610,0.0629,2,2,1,0,0,0,0,0,7,0,good
611,0.3631,1,1,0,0,0,0,0,0,2,0,good
612,0.4722,1,1,0,0,0,0,0,0,2,0,good
613,0.0639,6,5,1,0,0,0,0,0,12,0,good
614,0.0501,7,6,3,0,0,0,0,0,20,0,good
615,0.2834,1,1,1,0,0,0,0,0,2,0,good
616,0.6674,2,1,0,0,0,0,0,0,1,0,good
617,0.0835,6,6,0,0,0,0,0,0,7,0,good
618,0.0589,6,6,2,2,0,0,0,0,10,0,good
619,0.0396,7,6,1,0,0,0,0,0,11,0,good
620,0.0793,3,2,1,0,0,0,0,0,5,0,good
621,0.0667,9,3,1,0,0,0,0,0,15,0,good
622,0.4376,8,4,2,0,0,0,0,0,16,0,good
623,0.3334,2,1,1,0,0,0,0,1,3,0,good
624,0.0025,70,69,27,0,0,19,0,11,173,0,good
625,0.0021,197,117,65,0,0,1,0,15,434,0,good
626,0.0016,126,86,41,0,0,24,0,42,254,0,good
627,0.0139,22,5,4,0,0,8,0,10,20,0,good
628,0.0544,6,2,2,0,0,0,0,4,8,0,good
629,0.0021,144,29,27,0,0,54,0,43,152,0,good
630,0.0112,25,7,4,0,0,9,0,3,23,0,good
631,0.0012,242,47,19,0,0,96,0,76,255,0,good
632,0.0022,117,12,11,0,0,21,0,69,137,0,good
633,0.0021,136,19,9,0,0,44,0,49,146,0,good
634,0.003,80,44,9,0,0,87,0,9,63,0,good
635,0.0297,9,5,4,0,0,13,0,0,8,0,good
636,0.0155,16,6,6,0,0,0,1,0,33,0,good
637,1.331,1,0,0,0,0,0,0,0,1,0,good
638,0.0466,9,1,1,0,0,0,0,0,11,0,good
639,0.0176,12,4,3,0,0,0,0,0,29,0,good
640,0.0117,24,4,3,1,0,0,0,0,42,0,good
641,0.0249,11,4,3,1,0,0,0,0,24,0,good
642,0.0115,36,16,2,1,0,0,0,0,79,0,good
643,0.0588,9,3,2,0,0,0,0,0,16,0,good
644,0.0484,7,1,1,1,0,0,0,0,10,0,good
645,0.1296,2,2,2,0,0,0,0,0,7,0,good
646,0.0338,4,2,2,0,0,0,0,0,15,0,good
647,0.0746,3,2,1,0,0,0,0,0,7,0,good
648,0.0419,4,2,2,0,0,0,0,0,12,0,good
649,0.3436,2,1,1,1,0,0,0,0,3,0,good
650,0.1289,3,2,1,1,0,0,0,1,6,0,good
651,0.6972,1,1,1,0,0,0,0,1,2,0,good
652,0.0877,4,4,1,0,0,0,0,0,11,0,good
653,1.0684,2,1,1,0,0,0,1,0,2,0,good
654,0.0668,8,6,1,0,0,0,0,0,8,0,good
655,0.3059,6,5,1,0,0,0,0,0,7,0,good
