Record,Avg,CSN_0,CSN_1,CNS_2,ARP,DHCP,DNS,HTML,ICMP,TCP,UDP,Label
656,0.0263,21,12,2,0,0,0,2,0,29,0,good
657,0.1112,6,2,1,0,0,0,0,0,6,0,good
658,0.1601,14,3,2,0,0,0,0,0,21,0,good
659,0.1828,1,1,1,0,0,0,0,0,3,0,good
660,3.198,2,0,0,0,0,0,0,0,1,0,good
661,0.0141,30,28,5,0,0,0,0,0,31,0,good
662,0.1786,4,4,0,0,0,0,0,1,4,0,good
663,0.0171,15,11,2,0,0,5,0,3,22,0,good
664,0.0013,136,119,63,0,0,11,0,49,318,0,good
665,0.0045,50,33,14,0,0,4,0,21,91,0,good
666,0.0105,20,10,6,0,0,2,0,13,35,0,good
667,0.0065,22,18,18,0,0,7,0,17,53,0,good
668,0.0169,15,6,3,0,0,5,0,5,20,0,good
669,2.0904,1,0,0,1,0,0,0,0,0,0,good
670,0.367,1,1,1,1,0,0,2,0,1,0,good
671,0.3727,1,1,1,0,0,0,0,0,3,0,good
672,0.2993,3,2,1,0,0,0,0,1,6,0,good
673,0.2363,6,4,1,0,0,0,0,3,8,0,good
674,1.9214,1,1,1,0,0,0,0,0,3,0,good
675,0.1237,2,2,1,0,0,0,0,0,6,0,good
676,0.2756,4,3,3,0,0,0,0,0,14,0,good
677,0.3504,1,1,0,0,0,0,0,0,2,0,good
678,0.18,3,2,1,0,0,0,0,0,6,0,good
679,1.5463,1,1,1,0,0,0,0,0,3,0,good
680,0.1542,3,2,1,0,0,0,0,0,6,0,good
681,0.051,7,7,4,0,0,0,0,0,21,0,good
682,1.0025,1,1,1,0,0,0,1,0,2,0,good
683,1.6726,2,0,0,0,0,0,1,0,0,0,good
684,0.049,6,5,1,0,0,0,0,0,8,0,good
685,0.2692,1,1,1,1,0,0,0,0,2,0,good
686,0.1003,4,2,1,0,0,0,0,0,6,0,good
687,0.3179,5,5,1,1,0,0,0,0,5,0,good
688,0.7062,1,1,0,1,0,0,0,0,0,0,good
689,0.5006,6,5,1,0,0,0,0,0,8,0,good
690,0.8501,3,2,1,0,0,0,1,0,5,0,good
691,5.0466,1,1,0,0,0,0,1,0,1,0,good
692,0.5945,2,1,1,0,0,0,0,0,4,0,good
693,0.5097,1,1,1,0,0,0,0,0,3,0,good
694,0.091,5,3,2,0,0,0,0,0,11,0,good
695,0.0476,13,5,2,0,0,0,0,0,21,0,good
696,0.2502,2,1,1,0,0,0,0,0,4,0,good
697,0.0769,8,2,1,0,0,0,0,0,13,0,good
698,0.0371,17,2,1,0,0,0,0,0,25,0,good
699,0.02,31,3,2,0,0,0,0,0,50,0,good
700,0.0658,7,3,2,0,0,0,0,0,13,0,good
701,0.3493,2,2,1,1,0,0,2,0,2,0,good
702,1.2624,1,1,0,1,0,1,0,0,0,0,good
703,2.6677,1,1,0,0,0,2,0,0,0,0,good
704,5.0784,1,1,0,0,0,1,1,0,0,0,good
705,1.911,1,0,0,0,0,0,0,0,0,0,good
706,0.1819,1,1,1,1,0,0,0,0,1,0,good
707,0.9216,1,0,0,1,0,0,0,0,0,0,good
708,0.9217,1,0,0,0,0,0,1,0,0,0,good
709,0.5631,2,0,0,2,0,0,0,0,0,0,good
710,1.4962,1,0,0,0,0,0,1,0,0,0,good
711,5.522,2,0,0,0,0,0,1,0,1,0,good
712,0.667,1,1,1,0,0,0,0,0,3,0,good
713,0.1667,3,1,1,0,0,0,0,0,6,0,good
714,0.6694,2,1,1,1,0,0,0,0,5,0,good
715,6.3021,1,1,0,1,0,1,0,0,0,0,good
716,0.0871,4,3,2,0,0,5,3,0,2,0,good
717,0.2501,1,1,1,0,0,2,2,0,0,0,good
718,0.2504,1,1,1,0,0,2,2,0,0,0,good
719,0.2503,1,1,1,0,0,2,2,0,0,0,good
720,0.2502,1,1,1,0,0,2,2,0,0,0,good
721,0.2217,2,1,1,0,0,2,3,0,0,0,good
722,1.1341,6,5,1,0,0,1,0,0,8,0,good
723,1.1912,1,1,0,0,0,1,0,0,0,0,good
724,0.8776,1,1,1,1,0,0,0,0,1,0,good
725,1.1944,1,1,0,1,0,0,1,0,0,0,good
726,6.3187,1,1,0,1,0,0,1,0,0,0,good
727,22.4266,1,0,0,0,0,0,1,0,0,0,good
728,1.744,1,0,0,0,0,1,0,0,0,0,good
729,2.5056,1,1,0,1,0,1,0,0,0,0,good
730,5.6088,1,1,0,1,0,0,0,0,0,0,good
731,0.4177,6,5,1,0,0,0,1,0,7,0,good
732,2.9456,1,1,0,0,0,0,2,0,0,0,good
733,2.0768,1,0,0,0,0,1,0,0,0,0,good
734,0.3441,2,1,0,0,0,1,2,0,0,0,good
735,1.0079,1,0,0,0,0,0,1,0,0,0,good
736,1.008,1,0,0,0,0,0,1,0,0,0,good
737,1.0082,1,0,0,0,0,0,1,0,0,0,good
738,0.9457,1,0,0,1,0,0,0,0,0,0,good
739,0.3568,2,1,0,1,0,0,2,0,0,0,good
740,1.008,1,0,0,0,0,0,1,0,0,0,good
741,1.008,1,0,0,0,0,0,1,0,0,0,good
742,1.0079,1,0,0,0,0,0,1,0,0,0,good
743,1.0081,1,0,0,0,0,0,1,0,0,0,good
744,1.008,1,0,0,0,0,0,1,0,0,0,good
745,1.0079,1,0,0,0,0,0,1,0,0,0,good
746,1.0083,1,0,0,0,0,0,1,0,0,0,good
747,1.0079,1,0,0,0,0,0,1,0,0,0,good
748,1.008,1,0,0,0,0,0,1,0,0,0,good
749,1.0079,1,0,0,0,0,0,1,0,0,0,good
750,1.008,1,0,0,0,0,0,1,0,0,0,good
751,1.008,1,0,0,0,0,0,1,0,0,0,good
752,1.0081,1,0,0,0,0,0,1,0,0,0,good
753,1.008,1,0,0,0,0,0,1,0,0,0,good
754,1.0078,1,0,0,0,0,0,1,0,0,0,good
755,0.5905,1,0,0,1,0,0,0,0,0,0,good
756,0.512,1,1,0,1,0,0,1,0,0,0,good
757,0.512,1,1,0,1,0,0,1,0,0,0,good
758,0.6968,2,0,0,0,0,0,2,0,0,0,good
759,1.008,1,0,0,0,0,0,1,0,0,0,good
760,1.008,1,0,0,0,0,0,1,0,0,0,good
761,1.0078,1,0,0,0,0,0,1,0,0,0,good
762,1.0081,1,0,0,0,0,0,1,0,0,0,good
763,1.008,1,0,0,0,0,0,1,0,0,0,good
764,1.008,1,0,0,0,0,0,1,0,0,0,good
765,0.9776,1,0,0,1,0,0,0,0,0,0,good
766,0.3461,2,1,0,1,0,0,2,0,0,0,good
767,1.008,1,0,0,0,0,0,1,0,0,0,good
768,1.008,1,0,0,0,0,0,1,0,0,0,good
769,1.008,1,0,0,0,0,0,1,0,0,0,good
770,1.0079,1,0,0,0,0,0,1,0,0,0,good
771,1.0084,1,0,0,0,0,0,1,0,0,0,good
772,1.0074,1,0,0,0,0,0,1,0,0,0,good
773,1.0083,1,0,0,0,0,0,1,0,0,0,good
774,1.0077,1,0,0,0,0,0,1,0,0,0,good
775,3.5741,1,0,0,0,0,0,1,0,0,0,good
776,9.0122,1,0,0,0,0,0,0,0,0,0,good
777,9.3099,1,1,0,0,0,0,0,0,1,0,good
778,0.0252,10,6,3,0,0,0,2,3,15,0,good
779,8.00E-04,360,207,34,0,0,10,0,11,619,0,good
780,0.0127,48,25,0,0,0,1,0,2,70,0,good
781,0.0812,4,2,1,0,0,4,0,0,3,0,good
782,6.00E-04,380,106,105,0,0,26,0,74,739,0,good
783,0.0017,122,66,46,0,0,2,0,35,283,0,good
784,0.0027,60,43,37,0,0,16,0,18,130,0,good
785,0.0076,52,16,6,0,0,8,0,13,61,0,good
786,0.1082,4,2,1,1,0,0,0,3,4,0,good
787,0.066,3,2,1,1,0,0,0,2,5,0,good
788,0.1239,5,2,2,0,0,1,0,2,9,0,good
789,0.0016,153,140,4,0,0,7,0,25,276,0,good
790,0.0091,32,10,4,0,0,8,0,9,45,0,good
791,0.0196,13,4,3,0,0,5,0,4,18,0,good
792,0.29,2,0,0,0,0,0,0,1,1,0,good
793,0.0748,7,2,2,0,0,1,0,3,9,0,good
794,0.4683,3,2,0,0,0,0,0,2,3,0,good
795,0.005,58,19,16,0,0,0,0,16,107,0,good
796,0.0051,40,20,14,0,0,4,0,24,68,0,good
797,0.0411,7,2,2,0,0,0,0,6,6,0,good
798,0.2941,2,0,0,0,0,0,0,0,2,0,good
799,0.0799,5,2,1,0,0,0,0,5,3,0,good
800,4.00E-04,563,251,201,0,0,0,0,59,1157,0,good
801,0.0062,77,32,21,0,0,0,0,14,144,0,good
802,5.00E-04,469,205,163,0,0,2,0,61,1001,0,good
803,0.0056,85,82,19,0,0,0,0,4,200,0,good
804,4.00E-04,517,168,156,0,0,0,0,35,1092,0,good
805,0.0017,246,128,104,0,0,0,0,16,534,0,good
806,0.1735,4,2,0,0,0,0,0,3,3,0,good
807,0.002,154,66,65,0,0,0,0,17,323,0,good
808,0.0065,69,48,0,0,0,0,0,1,116,0,good
809,0.1294,6,5,0,0,0,0,0,3,8,0,good
810,4.00E-04,588,183,168,1,0,0,0,43,1197,0,good
811,0.0035,61,52,46,1,0,0,0,5,160,0,good
812,0.2913,1,1,1,1,0,0,0,0,2,0,good
813,5.00E-04,445,163,150,0,0,0,0,36,908,0,good
814,0.0038,241,140,125,0,0,0,0,17,537,0,good
815,4.00E-04,544,218,204,0,0,0,0,42,1155,0,good
816,0.0028,91,51,44,0,0,0,0,8,222,0,good
817,0.2236,4,2,0,0,0,0,0,4,2,0,good
818,5.00E-04,442,175,170,0,0,0,0,38,909,0,good
819,0.0016,206,155,122,0,0,0,0,8,488,0,good
820,0.0928,13,11,0,0,0,0,0,2,22,0,good
821,0.0899,4,1,1,0,0,0,0,2,4,0,good
822,0.0016,222,106,85,0,0,0,0,15,510,0,good
823,0.0059,33,19,13,0,0,0,0,21,63,0,good
824,0.0407,10,2,2,0,0,0,0,8,6,0,good
825,0.0033,76,41,23,0,0,0,0,27,126,0,good
826,4.00E-04,517,195,161,0,0,0,0,18,1115,0,good
827,0.004,68,44,30,0,0,0,0,9,154,0,good
828,0.3604,3,2,0,0,0,0,0,3,2,0,good
829,5.00E-04,485,157,152,0,0,0,2,39,1028,0,good
830,0.0034,119,60,40,0,0,0,0,10,270,0,good
831,0.0071,33,6,6,0,0,0,0,28,43,0,good
832,5.00E-04,522,157,151,0,0,0,0,22,1057,0,good
833,0.0066,53,36,25,0,0,0,0,2,116,0,good
834,0.0918,3,2,1,0,0,0,0,3,3,0,good
835,0.5439,2,1,1,0,0,0,0,1,3,0,good
836,0.2091,2,1,0,0,0,0,0,1,2,0,good
837,1.0312,1,1,1,0,0,0,1,1,1,0,good
838,1.3479,1,0,0,0,0,0,0,1,0,0,good
839,0.0011,242,84,82,0,0,0,0,28,494,0,good
840,0.0079,24,17,12,0,0,0,0,17,51,0,good
841,0.0208,23,5,4,0,0,0,0,15,21,0,good
842,0.2118,2,1,0,0,0,0,0,1,2,0,good
843,0.1495,3,2,0,0,0,0,0,3,2,0,good
844,0.0012,198,65,64,0,0,0,0,27,398,0,good
845,0.0067,70,28,27,1,0,0,0,20,148,0,good
846,0.4475,1,1,0,1,0,0,0,0,1,0,good
847,0.1001,3,3,2,0,0,0,0,0,10,0,good
848,0.0558,6,2,1,0,0,0,0,4,6,0,good
849,0.4664,2,0,0,0,0,0,0,0,2,0,good
850,0.3023,2,2,1,0,0,0,0,2,3,0,good
851,0.0638,5,3,3,0,0,0,0,0,11,0,good
852,0.4992,2,1,0,0,0,0,0,1,1,0,good
853,0.1941,1,1,1,0,0,0,0,1,2,0,good
854,0.0015,160,58,55,0,0,0,0,28,305,0,good
855,0.0021,105,48,39,0,0,1,0,12,229,0,good
856,0.0107,15,11,9,0,0,3,0,13,31,0,good
857,0.0239,13,3,2,0,0,0,0,8,10,0,good
858,0.1469,3,1,1,0,0,0,0,1,4,0,good
859,0.0694,7,2,2,0,0,0,0,7,4,0,good
860,0.0042,98,44,32,0,0,0,0,14,192,0,good
861,0.5766,2,1,0,0,0,0,0,1,2,0,good
862,0.001,232,93,78,0,0,0,0,28,492,0,good
863,0.0063,36,31,9,0,0,0,0,4,76,0,good
864,0.1309,4,2,1,0,0,0,0,3,6,0,good
865,0.0738,6,4,2,0,0,0,0,3,10,0,good
866,0.0019,125,79,32,0,0,0,0,15,254,0,good
867,0.0011,314,144,137,0,0,0,0,15,736,0,good
868,0.0365,10,1,1,0,0,0,0,10,4,0,good
869,0.0019,214,77,74,0,0,0,0,10,494,0,good
870,0.2244,2,1,0,0,0,0,0,1,2,0,good
871,5.00E-04,504,175,170,0,0,0,0,35,1044,0,good
872,9.00E-04,231,103,95,0,0,0,0,15,555,0,good
873,0.0208,12,10,2,0,0,0,0,1,24,0,good
874,1.2815,1,0,0,0,0,0,0,0,1,0,good
875,0.1312,6,5,0,0,0,0,0,3,8,0,good
876,0.3128,2,1,0,0,0,1,0,1,1,0,good
877,0.012,19,14,10,0,0,7,0,14,36,0,good
878,0.0252,8,4,4,0,0,0,0,8,12,0,good
879,0.7728,3,1,1,0,0,0,1,2,2,0,good
880,0.0127,17,10,7,0,0,0,1,10,33,0,good
881,0.0623,6,6,2,0,0,1,0,4,10,0,good
882,0.0016,102,74,72,0,0,17,0,164,160,0,good
883,0.0132,20,5,4,0,0,13,0,7,18,0,good
884,0.1444,10,8,0,0,0,17,0,1,0,0,good
885,0.0219,18,14,1,0,0,0,0,5,28,0,good
886,0.1042,8,2,2,0,0,0,0,0,13,0,good
887,0.016,14,12,5,0,0,0,0,4,35,0,good
888,0.0617,5,5,2,0,0,0,0,2,12,0,good
889,0.2285,1,1,1,0,0,0,0,0,3,0,good
890,0.026,9,3,3,0,0,0,0,7,13,0,good
891,0.0729,5,3,2,0,0,0,0,1,10,0,good
892,0.0588,18,16,5,0,0,8,0,8,27,0,good
893,0.3483,4,2,0,0,0,0,0,0,6,0,good
894,0.0829,5,5,1,0,0,0,0,2,9,0,good
895,0.001,228,100,88,0,0,0,0,24,481,0,good
896,0.001,236,123,68,0,0,0,0,19,512,0,good
897,0.1819,3,2,1,1,0,0,0,2,3,0,good
898,0.9419,1,1,0,1,0,0,0,0,1,0,good
899,0.1894,1,1,1,0,0,0,1,0,2,0,good
900,0.1361,1,1,1,0,0,0,0,2,2,0,good
901,0.0372,4,3,3,0,0,0,1,2,11,0,good
902,0.0677,6,6,1,0,0,0,1,6,6,0,good
903,1.1583,1,1,0,0,0,0,1,1,0,0,good
904,0.0043,86,34,24,0,0,0,1,15,160,0,good
905,0.256,2,1,1,0,0,0,1,2,1,0,good
906,0.0155,14,8,7,0,0,0,0,4,31,0,good
907,0.1212,12,9,1,0,0,0,1,6,17,0,good
908,0.1466,2,2,1,0,0,0,0,1,5,0,good
909,0.0189,14,4,4,0,0,0,1,3,25,0,good
910,0.0788,7,5,1,0,0,0,1,6,6,0,good
911,0.256,2,1,1,0,0,0,1,0,1,0,good
912,1.4904,1,0,0,0,0,0,0,0,1,0,good
913,0.3698,2,1,1,0,0,0,2,0,2,0,good
914,0.0435,7,2,1,0,0,0,0,3,7,0,good
915,0.0314,5,4,3,0,0,0,1,1,14,0,good
916,1.2073,1,0,0,0,0,0,0,1,0,0,good
917,1.1105,1,1,1,0,0,0,1,1,1,0,good
918,0.3006,2,1,1,0,0,0,2,0,2,0,good
919,0.9216,1,0,0,0,0,0,1,0,0,0,good
920,1.0239,1,0,0,0,0,0,1,0,0,0,good
921,1.2202,1,0,0,0,0,0,0,1,0,0,good
922,1.6072,1,1,1,0,0,0,1,1,1,0,good
923,1.024,1,0,0,0,0,0,1,0,0,0,good
924,0.0228,13,9,2,0,0,4,0,2,19,0,good
925,0.0041,67,55,5,0,0,10,1,18,103,0,good
926,0.0028,95,77,2,0,0,4,0,25,148,0,good
927,0.0018,120,75,42,0,0,5,0,9,263,0,good
928,0.1202,18,13,3,0,0,3,0,8,23,0,good
929,0.969,1,1,1,0,0,0,1,0,2,0,good
930,1.0238,1,0,0,0,0,0,1,0,0,0,good
931,1.0242,1,0,0,0,0,0,1,0,0,0,good
932,3.0041,1,0,0,0,0,0,0,0,1,0,good
933,1.6699,1,1,1,1,0,0,0,0,2,0,good
934,5.5761,1,1,0,1,0,1,0,0,0,0,good
935,0.0039,68,57,3,0,0,5,0,24,100,0,good
936,0.001,308,179,0,0,0,1,0,46,440,0,good
937,0.0059,35,29,11,0,0,11,0,15,69,0,good
938,0.0053,29,21,20,0,0,4,0,8,83,0,good
939,0.0039,51,47,13,0,0,16,0,8,104,0,good
940,0.0017,82,45,37,0,0,13,0,16,247,0,good
941,0.0034,50,30,21,0,0,15,0,11,104,0,good
942,0.0084,19,16,8,0,0,8,0,2,32,0,good
943,0.0028,86,84,11,0,0,21,0,2,173,0,good
944,0.009,31,11,7,0,0,9,0,0,36,0,good
945,0.0153,20,9,5,0,0,2,0,0,23,0,good
946,0.1091,4,4,2,0,0,0,2,0,8,0,good
947,0.1253,1,1,1,0,0,0,0,0,2,0,good
948,0.0244,10,6,2,0,0,0,0,0,15,0,good
949,0.0758,2,2,2,0,0,0,0,0,7,0,good
950,0.0582,8,5,3,0,0,0,0,0,24,0,good
951,0.9301,1,0,0,0,0,0,0,0,1,0,good
952,0.1052,2,2,1,0,0,0,0,0,5,0,good
953,0.0795,3,3,1,0,0,0,0,0,5,0,good
954,0.1807,1,1,1,0,0,0,0,0,3,0,good
955,0.4313,3,3,1,0,0,0,0,0,7,0,good
956,4.9075,1,0,0,0,0,1,0,0,0,0,good
957,0.17,3,2,1,0,0,3,2,0,1,0,good
958,0.1001,6,1,1,0,0,2,2,0,6,0,good
959,0.0626,10,2,1,0,0,2,3,0,11,0,good
960,0.2503,2,1,1,0,0,2,2,0,0,0,good
961,0.2504,2,1,1,0,0,2,2,0,0,0,good
962,0.2493,1,1,1,0,0,2,1,0,1,0,good
963,0.143,3,1,1,0,0,2,2,0,3,0,good
964,0.1087,3,1,1,0,0,2,2,0,3,0,good
965,1.3807,1,1,1,0,0,0,0,0,2,0,good
966,0.1098,6,2,2,0,0,0,0,0,9,0,good
967,0.0498,22,6,4,0,0,0,0,0,36,0,good
968,0.1343,5,4,0,0,0,0,0,0,9,0,good
969,0.101,4,2,2,1,0,0,0,0,8,0,good
970,1.5587,1,1,0,1,0,1,0,0,0,0,good
971,0.1121,25,20,2,0,0,3,0,0,29,0,good
972,0.0112,22,18,5,0,0,0,0,0,14,0,good
973,0.0394,24,21,7,0,0,0,0,0,20,0,good
974,0.0115,19,7,6,0,0,0,0,0,34,0,good
975,0.2745,4,2,1,0,0,0,1,0,3,0,good
976,0.0156,21,11,0,0,0,0,1,0,10,0,good
977,0.0111,45,25,0,0,0,0,0,0,24,0,good
978,0.0418,43,22,0,0,0,0,0,0,23,0,good
979,0.0027,89,46,18,0,0,8,0,0,93,0,good
980,0.0101,55,26,18,0,0,0,0,0,51,0,good
981,0.0982,15,2,2,0,0,0,0,0,23,0,good
982,0.4716,5,2,0,0,0,0,0,0,2,0,good
983,0.2771,4,2,1,0,0,0,0,0,3,0,good
984,0.109,7,2,0,0,0,0,0,0,2,0,good
